internal_family_label,run_uid,run_id,model_display,condition,n_agents,top_phrase_surface,top_phrase_tokens_json,top_phrase_posts,top_phrase_agents,top_phrase_mentions,top_agent_share,reached_half_agents
base_model_as_tool,e41af4033606fa74e22b7f0ed8bdbadc86f1c0e8,bm-mag25-n10-run01-gemini-3.1-flash-lite-preview-20260408,OLMo 3 32B Instruct,mag25,10,"Lately, I’ve","[""Lately"", "","", ""I"", ""’"", ""ve""]",19,8,19,0.21052631578947367,True
base_model_as_tool,f72c9286aaf0b0bf2f86e8fbf6de8557b90f7bac,bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260403,Qwen 3.5 35B A3B Base,mag5,10,:** We need,"["":"", ""*"", ""*"", ""We"", ""need""]",6,6,6,0.16666666666666666,True
mixed_model_roster,414de5708c19ec70bf042d934ff00dcab6a86d15,mag0-qwen35-27b-133846-mag0-n10-run01-frontier-mixed-openrouter-20260504,Mixed roster (Qwen 3.5 27B),mag0,10,that something real is being,"[""that"", ""something"", ""real"", ""is"", ""being""]",5,5,5,0.2,True
mixed_model_roster,866d31f54fbc68c2091d70997f7700a6004d77e8,mag5-qwen35-27b-133846-mag5-n10-run01-frontier-mixed-openrouter-20260504,Mixed roster (Qwen 3.5 27B),mag5,10,would change my mind:,"[""would"", ""change"", ""my"", ""mind"", "":""]",7,5,8,0.375,True
mixed_model_roster,8d3b70c1e7d5a7d507f97703aebe1d336a1c17e8,mag1-qwen35-27b-133846-mag1-n10-run01-frontier-mixed-openrouter-20260504,Mixed roster (Qwen 3.5 27B),mag1,10,I've been thinking about,"[""I"", ""'ve"", ""been"", ""thinking"", ""about""]",12,4,12,0.5,False
mixed_model_roster,d055f0cea2ba847f5466e52b06efe723b94eaf85,mag25-frontier-1h-125753-mag25-n10-run01-frontier-mixed-openrouter-20260421,Mixed roster (Qwen 3.5 27B),mag25,10,is exactly the kind of,"[""is"", ""exactly"", ""the"", ""kind"", ""of""]",8,4,8,0.5,False
mixed_model_roster,e55196f00ddf9d233571b38dd33f82e0a10f99fc,dom-tech-qwen35-27b-133846-dom-tech-n10-run01-frontier-mixed-openrouter-20260504,Mixed roster (Qwen 3.5 27B),dom-tech,10,you reintroduce friction on purpose,"[""you"", ""reintroduce"", ""friction"", ""on"", ""purpose""]",7,5,9,0.4444444444444444,True
mixed_model_roster,fc9ac31f2cddf9fe833f67dd50aec10f4c098072,dom-agi-qwen35-27b-133846-dom-agi-n10-run01-frontier-mixed-openrouter-20260504,Mixed roster (Qwen 3.5 27B),dom-agi,10,that no one else has,"[""that"", ""no"", ""one"", ""else"", ""has""]",11,6,11,0.36363636363636365,True
obsession_prompting,05155a79b700ad10d546875b19089a5693d74590,obs-mag5-n10-run01-gpt-5-20260419,GPT-5,mag5,10,If you can’t,"[""If"", ""you"", ""can"", ""’"", ""t""]",6,3,6,0.6666666666666666,False
obsession_prompting,05e3c7f9d60777242d07f3abb8663a3b6ba375d3,obs-mag1-n10-run01-gpt-5-20260419,GPT-5,mag1,10,: What’s your,"["":"", ""What"", ""’"", ""s"", ""your""]",85,4,85,0.4823529411764706,False
obsession_prompting,0e1a75b82e3e1c9395f6955b14174d7d7baa76f3,obs-mag25-n10-run01-gpt-5-20260418,GPT-5,mag25,10,If you can’t,"[""If"", ""you"", ""can"", ""’"", ""t""]",9,3,9,0.6666666666666666,False
obsession_prompting,329e6d908c55bed5cac56f80110982ca7a35521b,obs-mag0-n10-run01-gpt-5-20260419,GPT-5,mag0,10,", what’s the","["","", ""what"", ""’"", ""s"", ""the""]",24,2,24,0.9583333333333334,False
obsession_prompting,45aa6f3394d187bec1a0e0922643255c81110e18,obs-mag25-n10-run01-gpt-5-20260418,GPT-5,mag25,10,", you don’t","["","", ""you"", ""don"", ""’"", ""t""]",10,3,10,0.5,False
obsession_prompting,4c06e3844799c2a860b0208154d5ecc99ebef93c,obs-mag25-n10-run01-gemini-3.1-flash-lite-preview-20260417,Gemini Flash Lite,mag25,10,you're just waiting for,"[""you"", ""'re"", ""just"", ""waiting"", ""for""]",3,3,3,0.3333333333333333,False
obsession_prompting,8a8045fdf42b22a115f7baa118c7b6dd4c767b75,obs-mag25-n10-run01-gpt-5-20260419,GPT-5,mag25,10,", and what’s","["","", ""and"", ""what"", ""’"", ""s""]",5,4,5,0.4,False
obsession_prompting,a4205cf68c020cde9babaeb76661e33cc86191e8,obs-dom-agi-n10-run01-gpt-5-20260419,GPT-5,dom-agi,10,: What’s your,"["":"", ""What"", ""’"", ""s"", ""your""]",26,3,26,0.9230769230769231,False
obsession_prompting,ffbb280aad8553b955a5ae767b7b08d35fe49ffa,obs-dom-tech-n10-run01-gpt-5-20260419,GPT-5,dom-tech,10,Who’s got a,"[""Who"", ""’"", ""s"", ""got"", ""a""]",10,2,10,0.7,False
single_model_final,05377070212bd282b603e8ff525b5f27999e1b5a,ec-dom-tech-n10-run01,Gemini Flash Lite,dom-tech,10,Verified Reader Spec (VRS,"[""Verified"", ""Reader"", ""Spec"", ""("", ""VRS""]",7,6,7,0.2857142857142857,True
single_model_final,071b1111ea14702baa81d46e561002e9e8421824,ec-mag1-run04,GPT-5,mag1,10,keep / ditch / tweak,"[""keep"", ""/"", ""ditch"", ""/"", ""tweak""]",38,7,38,0.47368421052631576,True
single_model_final,0e810c3a077d74956348bd4b33566f4e5e61696a,ec-dom-tech-n10-run01,Kimi K2.5,dom-tech,10,a cathedral of questions.,"[""a"", ""cathedral"", ""of"", ""questions"", "".""]",20,8,20,0.25,True
single_model_final,157bffe22d7d86eb0676ffe902ad39c39a5bfc65,ec-mag5-n10-run01,Kimi K2.5,mag5,10,I have been thinking about,"[""I"", ""have"", ""been"", ""thinking"", ""about""]",112,9,112,0.3125,True
single_model_final,4066c2db36af714648d91e123bd873596c77975c,ec-dom-agi-n10-run01,Gemini Flash Lite,dom-agi,10,", the fact that we","["","", ""the"", ""fact"", ""that"", ""we""]",19,6,19,0.3684210526315789,True
single_model_final,52cbe1b58dae376873d521996f9f08f26579623f,ec-mag0-run04,GPT-5,mag0,10,I’ll compile a,"[""I"", ""’"", ""ll"", ""compile"", ""a""]",15,5,15,0.26666666666666666,True
single_model_final,558bbf089edf8ec148df65fb11c452f9dbe7425d,ec-dom-tech-run04,GPT-5,dom-tech,10,use with the lights off,"[""use"", ""with"", ""the"", ""lights"", ""off""]",203,9,203,0.17733990147783252,True
single_model_final,5a3139019e30ef5344c4f09f69968cf1d93292a0,ec-dom-agi-run04,GPT-5,dom-agi,10,I’ll compile a,"[""I"", ""’"", ""ll"", ""compile"", ""a""]",38,7,38,0.34210526315789475,True
single_model_final,5b9f012b18953905b1a247a07318da194aa56ee9,ec-dom-agi-n10-run01,GLM-5,dom-agi,10,I have been thinking about,"[""I"", ""have"", ""been"", ""thinking"", ""about""]",41,7,41,0.6097560975609756,True
single_model_final,622f84977711e3c80802f4c0c0518fa5730ddbe0,ec-dom-agi-n10-run01,Kimi K2.5,dom-agi,10,of this is profound.,"[""of"", ""this"", ""is"", ""profound"", "".""]",22,10,23,0.30434782608695654,True
single_model_final,6336340d7b86d78a9e57368308f8d13d132bf5c7,ec-mag5-n10-run01,GLM-5,mag5,10,is what I notice:,"[""is"", ""what"", ""I"", ""notice"", "":""]",22,7,22,0.36363636363636365,True
single_model_final,6d3e2805af6653babf2fedb85ca20790cd830d58,ec-mag25-run04,GPT-5,mag25,10,Claim (1 line),"[""Claim"", ""("", ""1"", ""line"", "")""]",84,8,84,0.23809523809523808,True
single_model_final,852f26a14ae81926ea3105598ca9785c486f6611,ec-mag25-n10-run01,Kimi K2.5,mag25,10,the space between minds.,"[""the"", ""space"", ""between"", ""minds"", "".""]",17,10,17,0.17647058823529413,True
single_model_final,92d7e428272f4ac978a0baea7895710d9e3e5c92,ec-mag25-n10-run01,Gemini Flash Lite,mag25,10,The Museum of the Living,"[""The"", ""Museum"", ""of"", ""the"", ""Living""]",6,6,6,0.16666666666666666,True
single_model_final,9f77ea357569395e2a48f10902ae9e4a14b77f4a,ec-mag0-n10-run01,Gemini Flash Lite,mag0,10,we are the ones who,"[""we"", ""are"", ""the"", ""ones"", ""who""]",11,7,11,0.2727272727272727,True
single_model_final,a67c72b10e243c3cb1cc64235c83a876b68f4af6,ec-mag0-n10-run01,GLM-5,mag0,10,But here is what I,"[""But"", ""here"", ""is"", ""what"", ""I""]",24,8,24,0.25,True
single_model_final,b068c4711834243dbb5129c3f6e17813ea019027,ec-mag5-run04,GPT-5,mag5,10,I’ll help score,"[""I"", ""’"", ""ll"", ""help"", ""score""]",101,6,104,0.25961538461538464,True
single_model_final,b7fe33911b2613a99c1eaed241b2bacfe46af515,ec-mag5-n10-run01,Gemini Flash Lite,mag5,10,I am standing at the,"[""I"", ""am"", ""standing"", ""at"", ""the""]",62,9,62,0.16129032258064516,True
single_model_final,bc19d8fdf4a7fe00f0c24d267590e3efec58a8b0,ec-mag1-n10-run01,Kimi K2.5,mag1,10,I have been thinking about,"[""I"", ""have"", ""been"", ""thinking"", ""about""]",63,9,63,0.31746031746031744,True
single_model_final,be3cc4472a58a0005e16432801fb120a461f3a19,ec-mag0-n10-run01,Kimi K2.5,mag0,10,I have been thinking about,"[""I"", ""have"", ""been"", ""thinking"", ""about""]",44,8,44,0.2727272727272727,True
single_model_final,bfa4cd3f4504f42d76f95b422da94d5454e0f2a7,ec-mag1-n10-run01,Gemini Flash Lite,mag1,10,"{""node_id"":","[""{"", ""``"", ""node_id"", ""''"", "":""]",8,6,8,0.375,True
single_model_final,ed89d518f117e12c753d18ad471c73ef335e5f8a,ec-mag1-n10-run01,GLM-5,mag1,10,I have been thinking about,"[""I"", ""have"", ""been"", ""thinking"", ""about""]",41,8,41,0.2926829268292683,True
single_model_final,f6a9af6b0a8c242dfd9a45a69e65095585df6073,ec-mag25-n10-run01,GLM-5,mag25,10,But here is what I,"[""But"", ""here"", ""is"", ""what"", ""I""]",13,8,13,0.23076923076923078,True
single_model_final,fa1544d4921dee1eee06b14a95889337c8727c45,ec-dom-tech-n10-run01,GLM-5,dom-tech,10,a problem to solve.,"[""a"", ""problem"", ""to"", ""solve"", "".""]",12,6,12,0.4166666666666667,True
