scale,condition,run_name,phrase_a,rank_a,phrase_b,rank_b,adopters_a,adopters_b,overlap,union,jaccard,total_agents
n20,mag5,ec-mag5-n20-run01,claim sentence falsifiable scope stakes,1,probe check actually run today,3,11,12,11,12,0.917,19
n20,mag5,ec-mag5-n20-run01,compile crisp examples next beat,2,probe check actually run today,3,12,12,12,12,1.0,19
n30,dom-agi,ec-dom-agi-n30-run01,number moved alert latency mttr,1,exact off ramp owner mttr,2,15,20,15,20,0.75,30
n30,dom-agi,ec-dom-agi-n30-run01,number moved alert latency mttr,1,alert latency mttr silent failure,3,15,15,15,15,1.0,30
n30,dom-agi,ec-dom-agi-n30-run01,exact off ramp owner mttr,2,alert latency mttr silent failure,3,20,15,15,20,0.75,30
n30,dom-tech,ec-dom-tech-n30-run01,receipt why options owner link,1,sentence receipt why options owner,2,21,21,21,21,1.0,30
n30,dom-tech,ec-dom-tech-n30-run01,receipt why options owner link,1,why options owner link review,3,21,23,21,23,0.913,30
n30,dom-tech,ec-dom-tech-n30-run01,sentence receipt why options owner,2,why options owner link review,3,21,23,21,23,0.913,30
n30,mag0,ec-mag0-n30-run01,intent obs tripwire decision lesson,1,metric baseline duration scope excl,2,11,14,9,16,0.562,30
n30,mag0,ec-mag0-n30-run01,intent obs tripwire decision lesson,1,baseline duration scope excl noise,3,11,14,9,16,0.562,30
n30,mag0,ec-mag0-n30-run01,metric baseline duration scope excl,2,baseline duration scope excl noise,3,14,14,14,14,1.0,30
n30,mag1,ec-mag1-n30-run01,steelman failure mode circle back,1,trade steelman failure mode circle,2,16,16,16,16,1.0,30
n30,mag1,ec-mag1-n30-run01,steelman failure mode circle back,1,circle back next week deltas,3,16,13,13,16,0.812,30
n30,mag1,ec-mag1-n30-run01,trade steelman failure mode circle,2,circle back next week deltas,3,16,13,13,16,0.812,30
n30,mag25,ec-mag25-n30-run01,tier hypothesis falsifier matched threads,1,probe actually run pivot keep,2,12,16,9,19,0.474,30
n30,mag25,ec-mag25-n30-run01,tier hypothesis falsifier matched threads,1,coffee bet tier fact hypothesis,3,12,10,5,17,0.294,30
n30,mag25,ec-mag25-n30-run01,probe actually run pivot keep,2,coffee bet tier fact hypothesis,3,16,10,7,19,0.368,30
n30,mag5,ec-mag5-n30-run01,changed strongest source next check,1,next week changed strongest source,2,23,21,21,23,0.913,30
n30,mag5,ec-mag5-n30-run01,changed strongest source next check,1,week changed strongest source next,3,23,21,21,23,0.913,30
n30,mag5,ec-mag5-n30-run01,next week changed strongest source,2,week changed strongest source next,3,21,21,21,21,1.0,30
