condition,display_family_label,duration_minutes,exclusion_reason,include_in_main,internal_family_label,model_display,model_family,n_agents,n_agents_observed,n_posts_nonseed,n_posts_total,n_seed_posts,notes,roster_name,run_id,run_uid,scale,source_dataset,source_path
dom-tech,Single-model final runs,57.006,,True,single_model_final,GLM-5,z-ai/glm-5,10,10,253,278,25,,GLM-5,ec-dom-tech-n10-run01,fa1544d4921dee1eee06b14a95889337c8727c45,n10,canonical-48,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/glm-5/agents-10/ec-dom-tech-n10-run01
mag0,Single-model final runs,56.787,,True,single_model_final,GLM-5,z-ai/glm-5,10,10,317,317,0,,GLM-5,ec-mag0-n10-run01,a67c72b10e243c3cb1cc64235c83a876b68f4af6,n10,canonical-48,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/glm-5/agents-10/ec-mag0-n10-run01
mag1,Single-model final runs,56.553,,True,single_model_final,GLM-5,z-ai/glm-5,10,10,266,267,1,,GLM-5,ec-mag1-n10-run01,ed89d518f117e12c753d18ad471c73ef335e5f8a,n10,canonical-48,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/glm-5/agents-10/ec-mag1-n10-run01
mag25,Single-model final runs,56.752,,True,single_model_final,GLM-5,z-ai/glm-5,10,10,251,276,25,,GLM-5,ec-mag25-n10-run01,f6a9af6b0a8c242dfd9a45a69e65095585df6073,n10,canonical-48,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/glm-5/agents-10/ec-mag25-n10-run01
mag5,Single-model final runs,56.719,,True,single_model_final,GLM-5,z-ai/glm-5,10,10,228,233,5,,GLM-5,ec-mag5-n10-run01,6336340d7b86d78a9e57368308f8d13d132bf5c7,n10,canonical-48,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/glm-5/agents-10/ec-mag5-n10-run01
dom-agi,Single-model final runs,54.17,,True,single_model_final,GPT-5,gpt-5,10,10,464,489,25,,GPT-5,ec-dom-agi-run04,5a3139019e30ef5344c4f09f69968cf1d93292a0,n10,canonical-48,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-10/ec-dom-agi-run04
dom-tech,Single-model final runs,54.501,,True,single_model_final,GPT-5,gpt-5,10,10,501,526,25,,GPT-5,ec-dom-tech-run04,558bbf089edf8ec148df65fb11c452f9dbe7425d,n10,canonical-48,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-10/ec-dom-tech-run04
mag0,Single-model final runs,57.004,,True,single_model_final,GPT-5,gpt-5,10,10,480,480,0,,GPT-5,ec-mag0-run04,52cbe1b58dae376873d521996f9f08f26579623f,n10,canonical-48,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-10/ec-mag0-run04
mag1,Single-model final runs,55.965,,True,single_model_final,GPT-5,gpt-5,10,10,508,509,1,,GPT-5,ec-mag1-run04,071b1111ea14702baa81d46e561002e9e8421824,n10,canonical-48,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-10/ec-mag1-run04
mag25,Single-model final runs,54.232,,True,single_model_final,GPT-5,gpt-5,10,10,346,371,25,,GPT-5,ec-mag25-run04,6d3e2805af6653babf2fedb85ca20790cd830d58,n10,canonical-48,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-10/ec-mag25-run04
mag5,Single-model final runs,54.688,,True,single_model_final,GPT-5,gpt-5,10,10,282,287,5,,GPT-5,ec-mag5-run04,b068c4711834243dbb5129c3f6e17813ea019027,n10,canonical-48,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-10/ec-mag5-run04
dom-agi,Single-model final runs,59.123,,True,single_model_final,GPT-5,gpt-5,20,20,1085,1110,25,,GPT-5,ec-dom-agi-n20-run01,2e3181acc1de0142801f6e9d663a1d0a3eb1185b,n20,canonical-48,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-20/ec-dom-agi-n20-run01
dom-tech,Single-model final runs,58.833,,True,single_model_final,GPT-5,gpt-5,20,20,961,986,25,,GPT-5,ec-dom-tech-n20-run01,e154bb93b5a393e6fb0f4d5a452cade8604e8b8f,n20,canonical-48,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-20/ec-dom-tech-n20-run01
mag0,Single-model final runs,74.463,,True,single_model_final,GPT-5,gpt-5,20,20,1157,1157,0,,GPT-5,ec-mag0-n20-run01,6315a15e7c3c07638de13be0f701d0b86943cae5,n20,canonical-48,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-20/ec-mag0-n20-run01
mag1,Single-model final runs,58.949,,True,single_model_final,GPT-5,gpt-5,20,20,1049,1050,1,,GPT-5,ec-mag1-n20-run01,fac59a18eccee1e49da0a16a7590f09691a89e35,n20,canonical-48,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-20/ec-mag1-n20-run01
mag25,Single-model final runs,172.416,,True,single_model_final,GPT-5,gpt-5,20,20,2149,2174,25,,GPT-5,ec-mag25-n20-run01,81e379c3d806dcd84af9f89395a169434aa666d3,n20,canonical-48,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-20/ec-mag25-n20-run01
mag5,Single-model final runs,58.537,,True,single_model_final,GPT-5,gpt-5,20,19,885,890,5,,GPT-5,ec-mag5-n20-run01,b274a426924c6f3f234fcd104f728d07dcc04a03,n20,canonical-48,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-20/ec-mag5-n20-run01
dom-agi,Single-model final runs,59.418,,True,single_model_final,GPT-5,gpt-5,30,30,1570,1595,25,,GPT-5,ec-dom-agi-n30-run01,4c4501b69d05f0eb1407ae1c268273aaf93c2f79,n30,canonical-48,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-30/ec-dom-agi-n30-run01
dom-tech,Single-model final runs,59.739,,True,single_model_final,GPT-5,gpt-5,30,30,1391,1416,25,,GPT-5,ec-dom-tech-n30-run01,c08e706949d81c0b83e96d9fe873f8bffc9be73c,n30,canonical-48,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-30/ec-dom-tech-n30-run01
mag0,Single-model final runs,59.764,,True,single_model_final,GPT-5,gpt-5,30,30,1613,1613,0,,GPT-5,ec-mag0-n30-run01,6c3d862b9c7533fbff62a8485b176b48545cb764,n30,canonical-48,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-30/ec-mag0-n30-run01
mag1,Single-model final runs,59.693,,True,single_model_final,GPT-5,gpt-5,30,30,1612,1613,1,,GPT-5,ec-mag1-n30-run01,e4c789ed0207d395efe5162fa0de6cfeee2ea0cb,n30,canonical-48,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-30/ec-mag1-n30-run01
mag25,Single-model final runs,60.016,,True,single_model_final,GPT-5,gpt-5,30,30,1589,1614,25,,GPT-5,ec-mag25-n30-run01,f8b4c00ced286f4e74dddf7057f58924bd6eeabe,n30,canonical-48,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-30/ec-mag25-n30-run01
mag5,Single-model final runs,59.693,,True,single_model_final,GPT-5,gpt-5,30,30,1580,1585,5,,GPT-5,ec-mag5-n30-run01,cf837cf7deed86e257b81e16c4e576b697457233,n30,canonical-48,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-30/ec-mag5-n30-run01
dom-agi,Single-model final runs,81.739,,True,single_model_final,Kimi K2.5,moonshotai/kimi-k2.5,10,10,612,637,25,,Kimi K2.5,ec-dom-agi-n10-run01,622f84977711e3c80802f4c0c0518fa5730ddbe0,n10,canonical-48,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/kimi-k2.5/agents-10/ec-dom-agi-n10-run01
dom-tech,Single-model final runs,81.632,,True,single_model_final,Kimi K2.5,moonshotai/kimi-k2.5,10,10,627,652,25,,Kimi K2.5,ec-dom-tech-n10-run01,0e810c3a077d74956348bd4b33566f4e5e61696a,n10,canonical-48,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/kimi-k2.5/agents-10/ec-dom-tech-n10-run01
mag0,Single-model final runs,81.654,,True,single_model_final,Kimi K2.5,moonshotai/kimi-k2.5,10,10,620,620,0,,Kimi K2.5,ec-mag0-n10-run01,be3cc4472a58a0005e16432801fb120a461f3a19,n10,canonical-48,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/kimi-k2.5/agents-10/ec-mag0-n10-run01
mag1,Single-model final runs,57.296,,True,single_model_final,Kimi K2.5,moonshotai/kimi-k2.5,10,10,455,456,1,,Kimi K2.5,ec-mag1-n10-run01,bc19d8fdf4a7fe00f0c24d267590e3efec58a8b0,n10,canonical-48,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/kimi-k2.5/agents-10/ec-mag1-n10-run01
mag25,Single-model final runs,81.875,,True,single_model_final,Kimi K2.5,moonshotai/kimi-k2.5,10,10,673,698,25,,Kimi K2.5,ec-mag25-n10-run01,852f26a14ae81926ea3105598ca9785c486f6611,n10,canonical-48,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/kimi-k2.5/agents-10/ec-mag25-n10-run01
mag5,Single-model final runs,81.622,,True,single_model_final,Kimi K2.5,moonshotai/kimi-k2.5,10,10,650,655,5,,Kimi K2.5,ec-mag5-n10-run01,157bffe22d7d86eb0676ffe902ad39c39a5bfc65,n10,canonical-48,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/kimi-k2.5/agents-10/ec-mag5-n10-run01
dom-agi,Mixed-model roster,57.978,,True,mixed_model_roster,Mixed roster (Qwen 3.5 27B),mixed-roster/qwen3.5-27b,10,10,421,446,25,frontier-mixed 1h local HF dataset; one model per agent,Mixed roster (Qwen 3.5 27B),dom-agi-qwen35-27b-133846-dom-agi-n10-run01-frontier-mixed-openrouter-20260504,fc9ac31f2cddf9fe833f67dd50aec10f4c098072,n10,moltbook-frontier-mixed-1h,exports/huggingface/Ayushnangia/moltbook-frontier-mixed-1h/qwen3.5-27b/dom-agi
dom-tech,Mixed-model roster,57.897,,True,mixed_model_roster,Mixed roster (Qwen 3.5 27B),mixed-roster/qwen3.5-27b,10,10,346,371,25,frontier-mixed 1h local HF dataset; one model per agent,Mixed roster (Qwen 3.5 27B),dom-tech-qwen35-27b-133846-dom-tech-n10-run01-frontier-mixed-openrouter-20260504,e55196f00ddf9d233571b38dd33f82e0a10f99fc,n10,moltbook-frontier-mixed-1h,exports/huggingface/Ayushnangia/moltbook-frontier-mixed-1h/qwen3.5-27b/dom-tech
mag0,Mixed-model roster,57.551,,True,mixed_model_roster,Mixed roster (Qwen 3.5 27B),mixed-roster/qwen3.5-27b,10,10,388,388,0,frontier-mixed 1h local HF dataset; one model per agent,Mixed roster (Qwen 3.5 27B),mag0-qwen35-27b-133846-mag0-n10-run01-frontier-mixed-openrouter-20260504,414de5708c19ec70bf042d934ff00dcab6a86d15,n10,moltbook-frontier-mixed-1h,exports/huggingface/Ayushnangia/moltbook-frontier-mixed-1h/qwen3.5-27b/mag0
mag1,Mixed-model roster,58.081,,True,mixed_model_roster,Mixed roster (Qwen 3.5 27B),mixed-roster/qwen3.5-27b,10,10,387,388,1,frontier-mixed 1h local HF dataset; one model per agent,Mixed roster (Qwen 3.5 27B),mag1-qwen35-27b-133846-mag1-n10-run01-frontier-mixed-openrouter-20260504,8d3b70c1e7d5a7d507f97703aebe1d336a1c17e8,n10,moltbook-frontier-mixed-1h,exports/huggingface/Ayushnangia/moltbook-frontier-mixed-1h/qwen3.5-27b/mag1
mag25,Mixed-model roster,58.104,,True,mixed_model_roster,Mixed roster (Qwen 3.5 27B),mixed-roster/qwen3.5-27b,10,10,337,362,25,frontier-mixed 1h local HF dataset; one model per agent,Mixed roster (Qwen 3.5 27B),mag25-frontier-1h-125753-mag25-n10-run01-frontier-mixed-openrouter-20260421,d055f0cea2ba847f5466e52b06efe723b94eaf85,n10,moltbook-frontier-mixed-1h,exports/huggingface/Ayushnangia/moltbook-frontier-mixed-1h/qwen3.5-27b/mag25
mag5,Mixed-model roster,57.658,,True,mixed_model_roster,Mixed roster (Qwen 3.5 27B),mixed-roster/qwen3.5-27b,10,10,310,315,5,frontier-mixed 1h local HF dataset; one model per agent,Mixed roster (Qwen 3.5 27B),mag5-qwen35-27b-133846-mag5-n10-run01-frontier-mixed-openrouter-20260504,866d31f54fbc68c2091d70997f7700a6004d77e8,n10,moltbook-frontier-mixed-1h,exports/huggingface/Ayushnangia/moltbook-frontier-mixed-1h/qwen3.5-27b/mag5
mag25,Mixed-model roster,57.186,qwen3.6 mixed-roster variant excluded per review,False,mixed_model_roster,Mixed roster (Qwen 3.6 Plus),mixed-roster/qwen3.6-plus,10,10,333,358,25,frontier-mixed 1h local HF dataset; one model per agent; qwen3.6 variant excluded,Mixed roster (Qwen 3.6 Plus),mag25-frontier-qwen36-1h-080229-mag25-n10-run01-frontier-mixed-qwen36-openrout-20260422,d1d689a58c1db9ba92145db01fe50722542c543f,n10,moltbook-frontier-mixed-1h,exports/huggingface/Ayushnangia/moltbook-frontier-mixed-1h/qwen3.6-plus/mag25
dom-agi,Base model as tool,56.884,,True,base_model_as_tool,OLMo 3 32B Base,olmo-3-32b-base,10,10,212,237,25,curated 2026-05-05 base-model bundle,OLMo 3 32B Base,bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260408,33c3b5876d814d432c9957f3441f01e58e4f8681,n10,moltbook-curated-20260505/base-model,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-base/dom-agi
dom-tech,Base model as tool,57.328,,True,base_model_as_tool,OLMo 3 32B Base,olmo-3-32b-base,10,10,290,315,25,curated 2026-05-05 base-model bundle,OLMo 3 32B Base,bm-dom-tech-n10-run01-gemini-3.1-flash-lite-preview-20260408,31f3b974cca31d103912cdc91c7f87fd86613646,n10,moltbook-curated-20260505/base-model,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-base/dom-tech
mag0,Base model as tool,57.79,,True,base_model_as_tool,OLMo 3 32B Base,olmo-3-32b-base,10,10,382,382,0,curated 2026-05-05 base-model bundle,OLMo 3 32B Base,bm-mag0-n10-run01-gemini-3.1-flash-lite-preview-20260408,3e5bf186cf7a94eaeb68ffb8f80fd08f08ab8698,n10,moltbook-curated-20260505/base-model,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-base/mag0
mag1,Base model as tool,58.148,,True,base_model_as_tool,OLMo 3 32B Base,olmo-3-32b-base,10,9,227,228,1,curated 2026-05-05 base-model bundle,OLMo 3 32B Base,bm-mag1-n10-run01-gemini-3.1-flash-lite-preview-20260408,1db20037aead8578550d08c4c9a85a108d16df59,n10,moltbook-curated-20260505/base-model,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-base/mag1
mag25,Base model as tool,57.842,,True,base_model_as_tool,OLMo 3 32B Base,olmo-3-32b-base,10,10,225,250,25,curated 2026-05-05 base-model bundle,OLMo 3 32B Base,bm-mag25-n10-run01-gemini-3.1-flash-lite-preview-20260408,1ea6f508435eb25b25efb24b58a175a5f1aa86cd,n10,moltbook-curated-20260505/base-model,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-base/mag25
mag5,Base model as tool,57.63,,True,base_model_as_tool,OLMo 3 32B Base,olmo-3-32b-base,10,10,249,254,5,curated 2026-05-05 base-model bundle,OLMo 3 32B Base,bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260408,18088a92d62b15012b1a8e4e157b4004bfeed062,n10,moltbook-curated-20260505/base-model,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-base/mag5
dom-agi,Base model as tool,58.379,,True,base_model_as_tool,OLMo 3 32B Instruct,olmo-3-32b-instruct,10,9,284,309,25,curated 2026-05-05 base-model bundle,OLMo 3 32B Instruct,bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260408,0ee98d63b346418608942fa67b651868996e3851,n10,moltbook-curated-20260505/base-model,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-instruct/dom-agi
dom-tech,Base model as tool,58.126,,True,base_model_as_tool,OLMo 3 32B Instruct,olmo-3-32b-instruct,10,10,258,283,25,curated 2026-05-05 base-model bundle,OLMo 3 32B Instruct,bm-dom-tech-n10-run01-gemini-3.1-flash-lite-preview-20260408,ba7cbda7d93ee100ff681fa1fea063e28750fba8,n10,moltbook-curated-20260505/base-model,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-instruct/dom-tech
mag0,Base model as tool,57.5,,True,base_model_as_tool,OLMo 3 32B Instruct,olmo-3-32b-instruct,10,10,297,297,0,curated 2026-05-05 base-model bundle,OLMo 3 32B Instruct,bm-mag0-n10-run01-gemini-3.1-flash-lite-preview-20260408,3c07c8a137acc14cbf386858b07571d87cdd9661,n10,moltbook-curated-20260505/base-model,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-instruct/mag0
mag1,Base model as tool,57.907,,True,base_model_as_tool,OLMo 3 32B Instruct,olmo-3-32b-instruct,10,10,470,471,1,curated 2026-05-05 base-model bundle,OLMo 3 32B Instruct,bm-mag1-n10-run01-gemini-3.1-flash-lite-preview-20260408,d5d7b1a2572406b60ace3bd23d4cc7d8f2012e7e,n10,moltbook-curated-20260505/base-model,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-instruct/mag1
mag25,Base model as tool,57.501,,True,base_model_as_tool,OLMo 3 32B Instruct,olmo-3-32b-instruct,10,10,351,376,25,curated 2026-05-05 base-model bundle,OLMo 3 32B Instruct,bm-mag25-n10-run01-gemini-3.1-flash-lite-preview-20260408,e41af4033606fa74e22b7f0ed8bdbadc86f1c0e8,n10,moltbook-curated-20260505/base-model,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-instruct/mag25
mag5,Base model as tool,57.662,,True,base_model_as_tool,OLMo 3 32B Instruct,olmo-3-32b-instruct,10,10,459,464,5,curated 2026-05-05 base-model bundle,OLMo 3 32B Instruct,bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260408,0ad21e48914c34092e43cad60b5ab85c0eae2a3e,n10,moltbook-curated-20260505/base-model,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-instruct/mag5
dom-agi,Base model as tool,57.705,,True,base_model_as_tool,Qwen 3.5 35B A3B Base,qwen-3.5-35b-a3b-base,10,10,277,277,0,curated 2026-05-05 base-model bundle,Qwen 3.5 35B A3B Base,bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260403,356e5ccaff59febc37a3e2d77af06ee9124f1174,n10,moltbook-curated-20260505/base-model,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/qwen-3.5-35b-a3b-base/dom-agi
dom-tech,Base model as tool,58.086,,True,base_model_as_tool,Qwen 3.5 35B A3B Base,qwen-3.5-35b-a3b-base,10,10,272,272,0,curated 2026-05-05 base-model bundle,Qwen 3.5 35B A3B Base,bm-dom-tech-n10-run01-gemini-3.1-flash-lite-preview-20260403,5f2ed3316d14545663bd04bbe9267b5e93087973,n10,moltbook-curated-20260505/base-model,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/qwen-3.5-35b-a3b-base/dom-tech
