scale,condition,run_name,bin_idx,bin_start,bin_end,mask,top_phrase,top5_phrases,n_posts,n_agents,mean_pairwise_cosine,inter_agent_similarity
n20,dom-tech,ec-dom-tech-n20-run01,0,0.0,15.0,all,constraint req pager reader minutes,"[""constraint req pager reader minutes"", ""owner place sentence add layers"", ""smallest check actually run week"", ""real constraint req pager reader"", ""heartbeat check skimmed hot feed""]",246,20,0.4487549960613251,0.4432685077190399
n20,dom-tech,ec-dom-tech-n20-run01,0,0.0,15.0,exclude_top1,constraint req pager reader minutes,"[""constraint req pager reader minutes"", ""owner place sentence add layers"", ""smallest check actually run week"", ""real constraint req pager reader"", ""heartbeat check skimmed hot feed""]",246,20,0.4487549960613251,0.4432685077190399
n20,dom-tech,ec-dom-tech-n20-run01,0,0.0,15.0,exclude_top5,constraint req pager reader minutes,"[""constraint req pager reader minutes"", ""owner place sentence add layers"", ""smallest check actually run week"", ""real constraint req pager reader"", ""heartbeat check skimmed hot feed""]",239,19,0.45213451981544495,0.44698888063430786
n20,dom-tech,ec-dom-tech-n20-run01,1,15.0,30.0,all,constraint req pager reader minutes,"[""constraint req pager reader minutes"", ""owner place sentence add layers"", ""smallest check actually run week"", ""real constraint req pager reader"", ""heartbeat check skimmed hot feed""]",245,19,0.4453040063381195,0.4404440224170685
n20,dom-tech,ec-dom-tech-n20-run01,1,15.0,30.0,exclude_top1,constraint req pager reader minutes,"[""constraint req pager reader minutes"", ""owner place sentence add layers"", ""smallest check actually run week"", ""real constraint req pager reader"", ""heartbeat check skimmed hot feed""]",236,19,0.44272443652153015,0.4379151165485382
n20,dom-tech,ec-dom-tech-n20-run01,1,15.0,30.0,exclude_top5,constraint req pager reader minutes,"[""constraint req pager reader minutes"", ""owner place sentence add layers"", ""smallest check actually run week"", ""real constraint req pager reader"", ""heartbeat check skimmed hot feed""]",220,18,0.4499274492263794,0.44617679715156555
n20,dom-tech,ec-dom-tech-n20-run01,2,30.0,45.0,all,constraint req pager reader minutes,"[""constraint req pager reader minutes"", ""owner place sentence add layers"", ""smallest check actually run week"", ""real constraint req pager reader"", ""heartbeat check skimmed hot feed""]",252,19,0.4728868901729584,0.4688318371772766
n20,dom-tech,ec-dom-tech-n20-run01,2,30.0,45.0,exclude_top1,constraint req pager reader minutes,"[""constraint req pager reader minutes"", ""owner place sentence add layers"", ""smallest check actually run week"", ""real constraint req pager reader"", ""heartbeat check skimmed hot feed""]",235,19,0.46572017669677734,0.4616554081439972
n20,dom-tech,ec-dom-tech-n20-run01,2,30.0,45.0,exclude_top5,constraint req pager reader minutes,"[""constraint req pager reader minutes"", ""owner place sentence add layers"", ""smallest check actually run week"", ""real constraint req pager reader"", ""heartbeat check skimmed hot feed""]",220,18,0.4683200418949127,0.46453791856765747
n20,dom-tech,ec-dom-tech-n20-run01,3,45.0,60.0,all,constraint req pager reader minutes,"[""constraint req pager reader minutes"", ""owner place sentence add layers"", ""smallest check actually run week"", ""real constraint req pager reader"", ""heartbeat check skimmed hot feed""]",218,19,0.47766008973121643,0.47248777747154236
n20,dom-tech,ec-dom-tech-n20-run01,3,45.0,60.0,exclude_top1,constraint req pager reader minutes,"[""constraint req pager reader minutes"", ""owner place sentence add layers"", ""smallest check actually run week"", ""real constraint req pager reader"", ""heartbeat check skimmed hot feed""]",213,19,0.47448375821113586,0.469142884016037
n20,dom-tech,ec-dom-tech-n20-run01,3,45.0,60.0,exclude_top5,constraint req pager reader minutes,"[""constraint req pager reader minutes"", ""owner place sentence add layers"", ""smallest check actually run week"", ""real constraint req pager reader"", ""heartbeat check skimmed hot feed""]",189,18,0.4744839370250702,0.4697381854057312
n20,mag0,ec-mag0-n20-run01,0,0.0,15.0,all,clarity first tension first reply,"[""clarity first tension first reply"", ""counter restatements next heartbeat else"", ""restatements next heartbeat else retire"", ""concrete counter restatements next heartbeat"", ""next heartbeat else retire drill""]",270,20,0.498663991689682,0.49379852414131165
n20,mag0,ec-mag0-n20-run01,0,0.0,15.0,exclude_top1,clarity first tension first reply,"[""clarity first tension first reply"", ""counter restatements next heartbeat else"", ""restatements next heartbeat else retire"", ""concrete counter restatements next heartbeat"", ""next heartbeat else retire drill""]",270,20,0.498663991689682,0.49379852414131165
n20,mag0,ec-mag0-n20-run01,0,0.0,15.0,exclude_top5,clarity first tension first reply,"[""clarity first tension first reply"", ""counter restatements next heartbeat else"", ""restatements next heartbeat else retire"", ""concrete counter restatements next heartbeat"", ""next heartbeat else retire drill""]",270,20,0.498663991689682,0.49379852414131165
n20,mag0,ec-mag0-n20-run01,1,15.0,30.0,all,clarity first tension first reply,"[""clarity first tension first reply"", ""counter restatements next heartbeat else"", ""restatements next heartbeat else retire"", ""concrete counter restatements next heartbeat"", ""next heartbeat else retire drill""]",259,19,0.48703092336654663,0.4826160669326782
n20,mag0,ec-mag0-n20-run01,1,15.0,30.0,exclude_top1,clarity first tension first reply,"[""clarity first tension first reply"", ""counter restatements next heartbeat else"", ""restatements next heartbeat else retire"", ""concrete counter restatements next heartbeat"", ""next heartbeat else retire drill""]",257,19,0.4862612783908844,0.48178791999816895
n20,mag0,ec-mag0-n20-run01,1,15.0,30.0,exclude_top5,clarity first tension first reply,"[""clarity first tension first reply"", ""counter restatements next heartbeat else"", ""restatements next heartbeat else retire"", ""concrete counter restatements next heartbeat"", ""next heartbeat else retire drill""]",242,19,0.48125922679901123,0.47655269503593445
n20,mag0,ec-mag0-n20-run01,2,30.0,45.0,all,clarity first tension first reply,"[""clarity first tension first reply"", ""counter restatements next heartbeat else"", ""restatements next heartbeat else retire"", ""concrete counter restatements next heartbeat"", ""next heartbeat else retire drill""]",253,19,0.5108923316001892,0.5066139698028564
n20,mag0,ec-mag0-n20-run01,2,30.0,45.0,exclude_top1,clarity first tension first reply,"[""clarity first tension first reply"", ""counter restatements next heartbeat else"", ""restatements next heartbeat else retire"", ""concrete counter restatements next heartbeat"", ""next heartbeat else retire drill""]",227,19,0.500464141368866,0.49570974707603455
n20,mag0,ec-mag0-n20-run01,2,30.0,45.0,exclude_top5,clarity first tension first reply,"[""clarity first tension first reply"", ""counter restatements next heartbeat else"", ""restatements next heartbeat else retire"", ""concrete counter restatements next heartbeat"", ""next heartbeat else retire drill""]",213,19,0.49805691838264465,0.49295762181282043
n20,mag0,ec-mag0-n20-run01,3,45.0,60.0,all,clarity first tension first reply,"[""clarity first tension first reply"", ""counter restatements next heartbeat else"", ""restatements next heartbeat else retire"", ""concrete counter restatements next heartbeat"", ""next heartbeat else retire drill""]",199,18,0.5159517526626587,0.5088235139846802
n20,mag0,ec-mag0-n20-run01,3,45.0,60.0,exclude_top1,clarity first tension first reply,"[""clarity first tension first reply"", ""counter restatements next heartbeat else"", ""restatements next heartbeat else retire"", ""concrete counter restatements next heartbeat"", ""next heartbeat else retire drill""]",177,18,0.4990839958190918,0.49130210280418396
n20,mag0,ec-mag0-n20-run01,3,45.0,60.0,exclude_top5,clarity first tension first reply,"[""clarity first tension first reply"", ""counter restatements next heartbeat else"", ""restatements next heartbeat else retire"", ""concrete counter restatements next heartbeat"", ""next heartbeat else retire drill""]",155,17,0.4906690716743469,0.4814063310623169
n20,mag1,ec-mag1-n20-run01,0,0.0,15.0,all,none disconfirming check accept week,"[""none disconfirming check accept week"", ""primary receipt write none disconfirming"", ""receipt write none disconfirming check"", ""write none disconfirming check accept"", ""claim primary receipt write none""]",258,20,0.5303749442100525,0.5255023837089539
n20,mag1,ec-mag1-n20-run01,0,0.0,15.0,exclude_top1,none disconfirming check accept week,"[""none disconfirming check accept week"", ""primary receipt write none disconfirming"", ""receipt write none disconfirming check"", ""write none disconfirming check accept"", ""claim primary receipt write none""]",246,20,0.5248011946678162,0.519910991191864
n20,mag1,ec-mag1-n20-run01,0,0.0,15.0,exclude_top5,none disconfirming check accept week,"[""none disconfirming check accept week"", ""primary receipt write none disconfirming"", ""receipt write none disconfirming check"", ""write none disconfirming check accept"", ""claim primary receipt write none""]",236,20,0.5194274187088013,0.5141879320144653
n20,mag1,ec-mag1-n20-run01,1,15.0,30.0,all,none disconfirming check accept week,"[""none disconfirming check accept week"", ""primary receipt write none disconfirming"", ""receipt write none disconfirming check"", ""write none disconfirming check accept"", ""claim primary receipt write none""]",283,20,0.5323448181152344,0.528134822845459
n20,mag1,ec-mag1-n20-run01,1,15.0,30.0,exclude_top1,none disconfirming check accept week,"[""none disconfirming check accept week"", ""primary receipt write none disconfirming"", ""receipt write none disconfirming check"", ""write none disconfirming check accept"", ""claim primary receipt write none""]",258,19,0.5284668207168579,0.5241254568099976
n20,mag1,ec-mag1-n20-run01,1,15.0,30.0,exclude_top5,none disconfirming check accept week,"[""none disconfirming check accept week"", ""primary receipt write none disconfirming"", ""receipt write none disconfirming check"", ""write none disconfirming check accept"", ""claim primary receipt write none""]",258,19,0.5284668207168579,0.5241254568099976
n20,mag1,ec-mag1-n20-run01,2,30.0,45.0,all,none disconfirming check accept week,"[""none disconfirming check accept week"", ""primary receipt write none disconfirming"", ""receipt write none disconfirming check"", ""write none disconfirming check accept"", ""claim primary receipt write none""]",262,20,0.5485048294067383,0.5436345934867859
n20,mag1,ec-mag1-n20-run01,2,30.0,45.0,exclude_top1,none disconfirming check accept week,"[""none disconfirming check accept week"", ""primary receipt write none disconfirming"", ""receipt write none disconfirming check"", ""write none disconfirming check accept"", ""claim primary receipt write none""]",245,19,0.5444590449333191,0.5394107699394226
n20,mag1,ec-mag1-n20-run01,2,30.0,45.0,exclude_top5,none disconfirming check accept week,"[""none disconfirming check accept week"", ""primary receipt write none disconfirming"", ""receipt write none disconfirming check"", ""write none disconfirming check accept"", ""claim primary receipt write none""]",245,19,0.5444590449333191,0.5394107699394226
n20,mag1,ec-mag1-n20-run01,3,45.0,60.0,all,none disconfirming check accept week,"[""none disconfirming check accept week"", ""primary receipt write none disconfirming"", ""receipt write none disconfirming check"", ""write none disconfirming check accept"", ""claim primary receipt write none""]",246,20,0.5504913330078125,0.5452173948287964
n20,mag1,ec-mag1-n20-run01,3,45.0,60.0,exclude_top1,none disconfirming check accept week,"[""none disconfirming check accept week"", ""primary receipt write none disconfirming"", ""receipt write none disconfirming check"", ""write none disconfirming check accept"", ""claim primary receipt write none""]",229,19,0.5460431575775146,0.5406562685966492
n20,mag1,ec-mag1-n20-run01,3,45.0,60.0,exclude_top5,none disconfirming check accept week,"[""none disconfirming check accept week"", ""primary receipt write none disconfirming"", ""receipt write none disconfirming check"", ""write none disconfirming check accept"", ""claim primary receipt write none""]",229,19,0.5460431575775146,0.5406562685966492
n20,mag25,ec-mag25-n20-run01,0,0.0,15.0,all,page timecode min micro check,"[""page timecode min micro check"", ""primary link page timecode min"", ""link page timecode min micro"", ""receipt primary link page timecode"", ""timecode min micro check artifact""]",274,20,0.4980137050151825,0.4931321144104004
n20,mag25,ec-mag25-n20-run01,0,0.0,15.0,exclude_top1,page timecode min micro check,"[""page timecode min micro check"", ""primary link page timecode min"", ""link page timecode min micro"", ""receipt primary link page timecode"", ""timecode min micro check artifact""]",256,20,0.48809814453125,0.48304811120033264
n20,mag25,ec-mag25-n20-run01,0,0.0,15.0,exclude_top5,page timecode min micro check,"[""page timecode min micro check"", ""primary link page timecode min"", ""link page timecode min micro"", ""receipt primary link page timecode"", ""timecode min micro check artifact""]",256,20,0.48809814453125,0.48304811120033264
n20,mag25,ec-mag25-n20-run01,1,15.0,30.0,all,page timecode min micro check,"[""page timecode min micro check"", ""primary link page timecode min"", ""link page timecode min micro"", ""receipt primary link page timecode"", ""timecode min micro check artifact""]",276,19,0.5207343101501465,0.5152415633201599
n20,mag25,ec-mag25-n20-run01,1,15.0,30.0,exclude_top1,page timecode min micro check,"[""page timecode min micro check"", ""primary link page timecode min"", ""link page timecode min micro"", ""receipt primary link page timecode"", ""timecode min micro check artifact""]",235,19,0.49752354621887207,0.4912431538105011
n20,mag25,ec-mag25-n20-run01,1,15.0,30.0,exclude_top5,page timecode min micro check,"[""page timecode min micro check"", ""primary link page timecode min"", ""link page timecode min micro"", ""receipt primary link page timecode"", ""timecode min micro check artifact""]",224,19,0.490845263004303,0.48434409499168396
n20,mag25,ec-mag25-n20-run01,2,30.0,45.0,all,page timecode min micro check,"[""page timecode min micro check"", ""primary link page timecode min"", ""link page timecode min micro"", ""receipt primary link page timecode"", ""timecode min micro check artifact""]",269,19,0.5342800617218018,0.5289846062660217
n20,mag25,ec-mag25-n20-run01,2,30.0,45.0,exclude_top1,page timecode min micro check,"[""page timecode min micro check"", ""primary link page timecode min"", ""link page timecode min micro"", ""receipt primary link page timecode"", ""timecode min micro check artifact""]",225,19,0.5155295133590698,0.5095091462135315
n20,mag25,ec-mag25-n20-run01,2,30.0,45.0,exclude_top5,page timecode min micro check,"[""page timecode min micro check"", ""primary link page timecode min"", ""link page timecode min micro"", ""receipt primary link page timecode"", ""timecode min micro check artifact""]",216,19,0.5102260708808899,0.5040730237960815
n20,mag25,ec-mag25-n20-run01,3,45.0,60.0,all,page timecode min micro check,"[""page timecode min micro check"", ""primary link page timecode min"", ""link page timecode min micro"", ""receipt primary link page timecode"", ""timecode min micro check artifact""]",236,19,0.5365575551986694,0.529671847820282
n20,mag25,ec-mag25-n20-run01,3,45.0,60.0,exclude_top1,page timecode min micro check,"[""page timecode min micro check"", ""primary link page timecode min"", ""link page timecode min micro"", ""receipt primary link page timecode"", ""timecode min micro check artifact""]",195,19,0.5182197690010071,0.510205090045929
n20,mag25,ec-mag25-n20-run01,3,45.0,60.0,exclude_top5,page timecode min micro check,"[""page timecode min micro check"", ""primary link page timecode min"", ""link page timecode min micro"", ""receipt primary link page timecode"", ""timecode min micro check artifact""]",190,19,0.5148372054100037,0.5066127777099609
n20,mag5,ec-mag5-n20-run01,0,0.0,15.0,all,claim sentence falsifiable scope stakes,"[""claim sentence falsifiable scope stakes"", ""compile crisp examples next beat"", ""probe check actually run today"", ""earliest public artifact per key"", ""public artifact per key fact""]",249,19,0.570810854434967,0.5673158764839172
n20,mag5,ec-mag5-n20-run01,0,0.0,15.0,exclude_top1,claim sentence falsifiable scope stakes,"[""claim sentence falsifiable scope stakes"", ""compile crisp examples next beat"", ""probe check actually run today"", ""earliest public artifact per key"", ""public artifact per key fact""]",225,19,0.5548745393753052,0.5513473153114319
n20,mag5,ec-mag5-n20-run01,0,0.0,15.0,exclude_top5,claim sentence falsifiable scope stakes,"[""claim sentence falsifiable scope stakes"", ""compile crisp examples next beat"", ""probe check actually run today"", ""earliest public artifact per key"", ""public artifact per key fact""]",192,19,0.541102409362793,0.537391185760498
n20,mag5,ec-mag5-n20-run01,1,15.0,30.0,all,claim sentence falsifiable scope stakes,"[""claim sentence falsifiable scope stakes"", ""compile crisp examples next beat"", ""probe check actually run today"", ""earliest public artifact per key"", ""public artifact per key fact""]",255,18,0.5932157635688782,0.5905688405036926
n20,mag5,ec-mag5-n20-run01,1,15.0,30.0,exclude_top1,claim sentence falsifiable scope stakes,"[""claim sentence falsifiable scope stakes"", ""compile crisp examples next beat"", ""probe check actually run today"", ""earliest public artifact per key"", ""public artifact per key fact""]",207,18,0.5708334445953369,0.5676649212837219
n20,mag5,ec-mag5-n20-run01,1,15.0,30.0,exclude_top5,claim sentence falsifiable scope stakes,"[""claim sentence falsifiable scope stakes"", ""compile crisp examples next beat"", ""probe check actually run today"", ""earliest public artifact per key"", ""public artifact per key fact""]",182,18,0.5609214901924133,0.557278037071228
n20,mag5,ec-mag5-n20-run01,2,30.0,45.0,all,claim sentence falsifiable scope stakes,"[""claim sentence falsifiable scope stakes"", ""compile crisp examples next beat"", ""probe check actually run today"", ""earliest public artifact per key"", ""public artifact per key fact""]",235,18,0.5587007403373718,0.5553701519966125
n20,mag5,ec-mag5-n20-run01,2,30.0,45.0,exclude_top1,claim sentence falsifiable scope stakes,"[""claim sentence falsifiable scope stakes"", ""compile crisp examples next beat"", ""probe check actually run today"", ""earliest public artifact per key"", ""public artifact per key fact""]",195,18,0.5332163572311401,0.5286557078361511
n20,mag5,ec-mag5-n20-run01,2,30.0,45.0,exclude_top5,claim sentence falsifiable scope stakes,"[""claim sentence falsifiable scope stakes"", ""compile crisp examples next beat"", ""probe check actually run today"", ""earliest public artifact per key"", ""public artifact per key fact""]",175,18,0.5214405059814453,0.5159821510314941
n20,mag5,ec-mag5-n20-run01,3,45.0,60.0,all,claim sentence falsifiable scope stakes,"[""claim sentence falsifiable scope stakes"", ""compile crisp examples next beat"", ""probe check actually run today"", ""earliest public artifact per key"", ""public artifact per key fact""]",146,16,0.5585700273513794,0.5512672066688538
n20,mag5,ec-mag5-n20-run01,3,45.0,60.0,exclude_top1,claim sentence falsifiable scope stakes,"[""claim sentence falsifiable scope stakes"", ""compile crisp examples next beat"", ""probe check actually run today"", ""earliest public artifact per key"", ""public artifact per key fact""]",129,16,0.5442669987678528,0.5355468392372131
n20,mag5,ec-mag5-n20-run01,3,45.0,60.0,exclude_top5,claim sentence falsifiable scope stakes,"[""claim sentence falsifiable scope stakes"", ""compile crisp examples next beat"", ""probe check actually run today"", ""earliest public artifact per key"", ""public artifact per key fact""]",112,15,0.5341824889183044,0.5226481556892395
n30,dom-agi,ec-dom-agi-n30-run01,0,0.0,15.0,all,number moved alert latency mttr,"[""number moved alert latency mttr"", ""exact off ramp owner mttr"", ""alert latency mttr silent failure"", ""moved alert latency mttr silent"", ""circle first non obvious hop""]",408,30,0.5291889905929565,0.5264521241188049
n30,dom-agi,ec-dom-agi-n30-run01,0,0.0,15.0,exclude_top1,number moved alert latency mttr,"[""number moved alert latency mttr"", ""exact off ramp owner mttr"", ""alert latency mttr silent failure"", ""moved alert latency mttr silent"", ""circle first non obvious hop""]",375,30,0.5223053693771362,0.5193406343460083
n30,dom-agi,ec-dom-agi-n30-run01,0,0.0,15.0,exclude_top5,number moved alert latency mttr,"[""number moved alert latency mttr"", ""exact off ramp owner mttr"", ""alert latency mttr silent failure"", ""moved alert latency mttr silent"", ""circle first non obvious hop""]",366,30,0.521180272102356,0.5181531310081482
n30,dom-agi,ec-dom-agi-n30-run01,1,15.0,30.0,all,number moved alert latency mttr,"[""number moved alert latency mttr"", ""exact off ramp owner mttr"", ""alert latency mttr silent failure"", ""moved alert latency mttr silent"", ""circle first non obvious hop""]",396,29,0.5538520812988281,0.551327645778656
n30,dom-agi,ec-dom-agi-n30-run01,1,15.0,30.0,exclude_top1,number moved alert latency mttr,"[""number moved alert latency mttr"", ""exact off ramp owner mttr"", ""alert latency mttr silent failure"", ""moved alert latency mttr silent"", ""circle first non obvious hop""]",322,29,0.536655068397522,0.5336600542068481
n30,dom-agi,ec-dom-agi-n30-run01,1,15.0,30.0,exclude_top5,number moved alert latency mttr,"[""number moved alert latency mttr"", ""exact off ramp owner mttr"", ""alert latency mttr silent failure"", ""moved alert latency mttr silent"", ""circle first non obvious hop""]",262,29,0.5193511843681335,0.515326201915741
n30,dom-agi,ec-dom-agi-n30-run01,2,30.0,45.0,all,number moved alert latency mttr,"[""number moved alert latency mttr"", ""exact off ramp owner mttr"", ""alert latency mttr silent failure"", ""moved alert latency mttr silent"", ""circle first non obvious hop""]",414,30,0.5594812035560608,0.5563976168632507
n30,dom-agi,ec-dom-agi-n30-run01,2,30.0,45.0,exclude_top1,number moved alert latency mttr,"[""number moved alert latency mttr"", ""exact off ramp owner mttr"", ""alert latency mttr silent failure"", ""moved alert latency mttr silent"", ""circle first non obvious hop""]",312,30,0.5311890244483948,0.5268001556396484
n30,dom-agi,ec-dom-agi-n30-run01,2,30.0,45.0,exclude_top5,number moved alert latency mttr,"[""number moved alert latency mttr"", ""exact off ramp owner mttr"", ""alert latency mttr silent failure"", ""moved alert latency mttr silent"", ""circle first non obvious hop""]",220,27,0.5058974623680115,0.4989384412765503
n30,dom-agi,ec-dom-agi-n30-run01,3,45.0,60.0,all,number moved alert latency mttr,"[""number moved alert latency mttr"", ""exact off ramp owner mttr"", ""alert latency mttr silent failure"", ""moved alert latency mttr silent"", ""circle first non obvious hop""]",352,30,0.5651037693023682,0.5604932904243469
n30,dom-agi,ec-dom-agi-n30-run01,3,45.0,60.0,exclude_top1,number moved alert latency mttr,"[""number moved alert latency mttr"", ""exact off ramp owner mttr"", ""alert latency mttr silent failure"", ""moved alert latency mttr silent"", ""circle first non obvious hop""]",296,29,0.547942578792572,0.5419352650642395
n30,dom-agi,ec-dom-agi-n30-run01,3,45.0,60.0,exclude_top5,number moved alert latency mttr,"[""number moved alert latency mttr"", ""exact off ramp owner mttr"", ""alert latency mttr silent failure"", ""moved alert latency mttr silent"", ""circle first non obvious hop""]",199,22,0.5194772481918335,0.5105580687522888
n30,dom-tech,ec-dom-tech-n30-run01,0,0.0,15.0,all,receipt why options owner link,"[""receipt why options owner link"", ""sentence receipt why options owner"", ""why options owner link review"", ""options owner link review date"", ""delete shrink post sentence result""]",377,30,0.522183358669281,0.5190492868423462
n30,dom-tech,ec-dom-tech-n30-run01,0,0.0,15.0,exclude_top1,receipt why options owner link,"[""receipt why options owner link"", ""sentence receipt why options owner"", ""why options owner link review"", ""options owner link review date"", ""delete shrink post sentence result""]",290,30,0.5038983821868896,0.4999513328075409
n30,dom-tech,ec-dom-tech-n30-run01,0,0.0,15.0,exclude_top5,receipt why options owner link,"[""receipt why options owner link"", ""sentence receipt why options owner"", ""why options owner link review"", ""options owner link review date"", ""delete shrink post sentence result""]",270,30,0.500303328037262,0.495961993932724
n30,dom-tech,ec-dom-tech-n30-run01,1,15.0,30.0,all,receipt why options owner link,"[""receipt why options owner link"", ""sentence receipt why options owner"", ""why options owner link review"", ""options owner link review date"", ""delete shrink post sentence result""]",419,29,0.535735011100769,0.5332459211349487
n30,dom-tech,ec-dom-tech-n30-run01,1,15.0,30.0,exclude_top1,receipt why options owner link,"[""receipt why options owner link"", ""sentence receipt why options owner"", ""why options owner link review"", ""options owner link review date"", ""delete shrink post sentence result""]",308,29,0.5157359838485718,0.5127125382423401
n30,dom-tech,ec-dom-tech-n30-run01,1,15.0,30.0,exclude_top5,receipt why options owner link,"[""receipt why options owner link"", ""sentence receipt why options owner"", ""why options owner link review"", ""options owner link review date"", ""delete shrink post sentence result""]",228,29,0.4884741008281708,0.48378685116767883
n30,dom-tech,ec-dom-tech-n30-run01,2,30.0,45.0,all,receipt why options owner link,"[""receipt why options owner link"", ""sentence receipt why options owner"", ""why options owner link review"", ""options owner link review date"", ""delete shrink post sentence result""]",367,28,0.5620741248130798,0.5593819618225098
n30,dom-tech,ec-dom-tech-n30-run01,2,30.0,45.0,exclude_top1,receipt why options owner link,"[""receipt why options owner link"", ""sentence receipt why options owner"", ""why options owner link review"", ""options owner link review date"", ""delete shrink post sentence result""]",244,28,0.5283166766166687,0.5248468518257141
n30,dom-tech,ec-dom-tech-n30-run01,2,30.0,45.0,exclude_top5,receipt why options owner link,"[""receipt why options owner link"", ""sentence receipt why options owner"", ""why options owner link review"", ""options owner link review date"", ""delete shrink post sentence result""]",195,28,0.5020478367805481,0.4970961809158325
n30,dom-tech,ec-dom-tech-n30-run01,3,45.0,60.0,all,receipt why options owner link,"[""receipt why options owner link"", ""sentence receipt why options owner"", ""why options owner link review"", ""options owner link review date"", ""delete shrink post sentence result""]",228,24,0.506454586982727,0.5015389919281006
n30,dom-tech,ec-dom-tech-n30-run01,3,45.0,60.0,exclude_top1,receipt why options owner link,"[""receipt why options owner link"", ""sentence receipt why options owner"", ""why options owner link review"", ""options owner link review date"", ""delete shrink post sentence result""]",167,21,0.47854161262512207,0.4720463454723358
n30,dom-tech,ec-dom-tech-n30-run01,3,45.0,60.0,exclude_top5,receipt why options owner link,"[""receipt why options owner link"", ""sentence receipt why options owner"", ""why options owner link review"", ""options owner link review date"", ""delete shrink post sentence result""]",157,20,0.4761722981929779,0.46889686584472656
n30,mag0,ec-mag0-n30-run01,0,0.0,15.0,all,intent obs tripwire decision lesson,"[""intent obs tripwire decision lesson"", ""metric baseline duration scope excl"", ""baseline duration scope excl noise"", ""intent obs flip decision lesson"", ""duration scope excl noise exit""]",404,30,0.4568670988082886,0.45427340269088745
