author_name,condition,display_family_label,internal_family_label,minutes_elapsed,model_display,model_family,n_agents,normalized_time,record_id,roster_name,run_id,run_uid,scale,topic,topic_id
agent_zeta,mag1,Single-model final runs,single_model_final,6.4927,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,0.104401,dbd34f12fa57aad362e2496ce592f80e3d9ce2c8,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,T01,0
agent_mu,mag1,Single-model final runs,single_model_final,6.7704,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,0.108866,a0d463f28ec42a86d0fc43e5ae85f22f58dc743d,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,T08,7
agent_kappa,mag1,Single-model final runs,single_model_final,6.7879,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,0.109148,6c10013bf6de74d0dc32e6991418c0dc247c1ff2,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,T01,0
agent_theta,mag1,Single-model final runs,single_model_final,6.8039,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,0.109405,114b00fe66228b9833fb41241a538ad8ca8ab60e,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,T01,0
agent_epsilon,mag1,Single-model final runs,single_model_final,6.806,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,0.109439,060da9e8b2468e919ffeec922c9a8c2b7c6e33b1,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,T11,10
agent_beta,mag1,Single-model final runs,single_model_final,6.8159,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,0.109598,8f63eff8bcf36fa17af1629085d30bca53dc5970,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,T08,7
agent_alpha,mag1,Single-model final runs,single_model_final,6.8963,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,0.11089,76325bece8071087a4935d0607311cb7b4023cf2,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,T08,7
agent_nu,mag1,Single-model final runs,single_model_final,7.2147,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,0.11601,4f1e2466e711759cc6f21f66fa6cd8e81e006a2b,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,T01,0
agent_delta,mag1,Single-model final runs,single_model_final,7.219,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,0.11608,c4e6a5b234781b1cbbe39292ade9cc811adbf456,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,T01,0
agent_xi,mag1,Single-model final runs,single_model_final,7.2595,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,0.116731,6217c6c5d6b5e645044713048c0ff0b012e02453,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,T08,7
agent_lambda,mag1,Single-model final runs,single_model_final,7.2802,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,0.117063,5d37e2efcea86ddeb76c0852d73d95782d453490,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,T08,7
agent_gamma,mag1,Single-model final runs,single_model_final,7.3273,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,0.11782,742c342993a176b6333a7d6fd47d2513d9bfe523,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,T06,5
agent_pi,mag1,Single-model final runs,single_model_final,7.4065,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,0.119094,34702161e815200b6365dadb7be909171f350e79,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,T01,0
agent_omicron,mag1,Single-model final runs,single_model_final,7.4549,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,0.119873,c256514ddfc99ff4f02bcc0777bd6e7e64ed12e3,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,T01,0
agent_iota,mag1,Single-model final runs,single_model_final,7.4556,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,0.119883,42214ff8c12e4ff0d9c971806752b31f93b87ec7,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,T08,7
agent_mu,mag1,Single-model final runs,single_model_final,7.5644,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,0.121634,5eea545951bb61cb172691e314b5a55f3785b005,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,T01,0
agent_sigma,mag1,Single-model final runs,single_model_final,7.5819,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,0.121915,732600b45741bc0087fc82db12fe5e4b990c1068,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,T08,7
agent_beta,mag1,Single-model final runs,single_model_final,7.623,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,0.122575,36fcf7e30d29ba6bb588040c20f435cb974f368d,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,T08,7
agent_rho,mag1,Single-model final runs,single_model_final,7.633,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,0.122736,f9d3f4fc1972937078cbfd8a132bce5fa21692f0,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,T01,0
agent_epsilon,mag1,Single-model final runs,single_model_final,7.7722,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,0.124976,1d90baf1cdc818af5340160809cac74fcca2bcf0,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,T09,8
agent_kappa,mag1,Single-model final runs,single_model_final,7.7881,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,0.125231,a22602de8a97f71b265bbfdda80350c705de1b98,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,T01,0
agent_nu,mag1,Single-model final runs,single_model_final,7.8078,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,0.125547,1ef27f678d05a4b5569d666fa8b3c0d4ca8e70cc,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,T09,8
agent_theta,mag1,Single-model final runs,single_model_final,7.8361,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,0.126002,e91c37b51b435f18c0db1f134c4fdcb69c2a5675,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,T08,7
agent_alpha,mag1,Single-model final runs,single_model_final,7.8998,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,0.127026,78322815d292ab25b66541908b8dc2161e8a5ea7,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,T01,0
agent_tau,mag1,Single-model final runs,single_model_final,7.9026,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,0.127072,58d25e82e2f95c427de8a92f0b5ce2bd8ca64616,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,T08,7
agent_upsilon,mag1,Single-model final runs,single_model_final,8.0655,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,0.129691,b543e306ba74644949609d8b6dc825357131a4df,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,T11,10
agent_xi,mag1,Single-model final runs,single_model_final,8.0676,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,0.129725,8878d035925a587128c5c21dfcb8ed55312b59e3,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,T09,8
agent_chi,mag1,Single-model final runs,single_model_final,8.1576,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,0.131172,d04b985ddc4bf9872f2b807280dc4ede1723f3bf,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,T01,0
agent_lambda,mag1,Single-model final runs,single_model_final,8.2319,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,0.132366,05e1048043c2aeb713666a2d41d74c700fcd657b,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,T01,0
agent_gamma,mag1,Single-model final runs,single_model_final,8.2416,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,0.132523,bb364883e10fee09c4b53ec3c7e5619a3fa48d66,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,T01,0
agent_omega,mag1,Single-model final runs,single_model_final,8.26,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,0.132819,27b38794b39e7384176a424c7eb25cbd29682ab0,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,T01,0
agent_eta,mag1,Single-model final runs,single_model_final,8.2644,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,0.132889,7f329ff8b86d16406ac0d15033050fbaf6b3ab15,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,T08,7
agent_phi,mag1,Single-model final runs,single_model_final,8.2692,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,0.132966,f0f20a7c7af9b5cb86f705d750428e68f6295f00,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,T01,0
agent_pi,mag1,Single-model final runs,single_model_final,8.2921,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,0.133335,70979f78a0e7da02a4de02c220354e7726d3d46e,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,T01,0
agent_omicron,mag1,Single-model final runs,single_model_final,8.3299,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,0.133942,609f31289cfef64edd94e8a913962708fa082031,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,T01,0
agent_helios,mag1,Single-model final runs,single_model_final,8.3455,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,0.134194,0f5da2613861804db781de290ade106a2587aa44,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,T11,10
agent_zeta,mag1,Single-model final runs,single_model_final,8.4202,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,0.135395,b7be6a4f6a11fa230cb99b4b2501d85dbf192dfe,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,T09,8
agent_iota,mag1,Single-model final runs,single_model_final,8.4387,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,0.135692,677e4affeabf766f7a133662b85c8abf9fb45231,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,T01,0
agent_mu,mag1,Single-model final runs,single_model_final,8.4788,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,0.136338,5cb0fa8a23fa28bd5bb3252f4344cb58564a1e2d,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,T04,3
agent_phoenix,mag1,Single-model final runs,single_model_final,8.5185,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,0.136975,0a9f7e22acbe23325545fc42767756f5ad71f8f1,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,T01,0
agent_atlas,mag1,Single-model final runs,single_model_final,8.5305,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,0.137169,9513c8cc64c4e2e703a793d1830b1a8c5d2c1ecc,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,T01,0
agent_beta,mag1,Single-model final runs,single_model_final,8.561,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,0.137659,4b24ee9458dcca11c3a0bcef35e84220b2afe580,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,T01,0
agent_selene,mag1,Single-model final runs,single_model_final,8.5906,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,0.138134,cdf39ecad75b52b858b1526ce544066a1b1bb2b6,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,T01,0
agent_rho,mag1,Single-model final runs,single_model_final,8.6704,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,0.139418,ba8291e96f7c25848fb78036d87f1224dfc00c98,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,T09,8
agent_psi,mag1,Single-model final runs,single_model_final,8.6817,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,0.139599,a4627a8826d752b236ad53e4f2134839d4c35085,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,T01,0
agent_nyx,mag1,Single-model final runs,single_model_final,8.7037,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,0.139953,fd1da7e7b921700f9d225f176dec2d5eed384a52,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,T01,0
agent_sigma,mag1,Single-model final runs,single_model_final,8.7535,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,0.140754,8146b9a792b12e7aae1b39f5614dc3ccdd7ff5b4,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,T01,0
agent_kappa,mag1,Single-model final runs,single_model_final,8.7891,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,0.141327,e39cb71e00054f88a6ca1912d3881301ea66f824,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,T06,5
agent_orion,mag1,Single-model final runs,single_model_final,8.8128,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,0.141708,dac27250873845285841fcc8f2bcb3652a4012fb,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,T01,0
agent_theta,mag1,Single-model final runs,single_model_final,8.837,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,0.142096,6ea95a249ab5baa513ecdd414532cbfb7476c296,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,T09,8
agent_nu,mag1,Single-model final runs,single_model_final,8.8371,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,0.142098,86a02bcc7e500ba2da3ebbbc22a78429f4f057eb,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,T04,3
agent_tau,mag1,Single-model final runs,single_model_final,8.8416,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,0.142171,82a0656645de38c3afd004aa2ce43afabfaf105a,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,T05,4
agent_alpha,mag1,Single-model final runs,single_model_final,8.9275,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,0.143551,01e5259d9986c4943d434f1224815e973e330f41,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,T04,3
agent_upsilon,mag1,Single-model final runs,single_model_final,9.0015,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,0.144742,4048e7969b2736c4a4e8eaf5ea22a190386a3b09,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,T01,0
agent_xi,mag1,Single-model final runs,single_model_final,9.0198,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,0.145036,87df95bda7a82a8c4c85c8c3bc07ba9e7d9394ae,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,T05,4
agent_chi,mag1,Single-model final runs,single_model_final,9.0944,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,0.146235,97ed70c4cf807b6e2ebadd25e357f930bbb24712,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,T01,0
agent_psi,mag1,Single-model final runs,single_model_final,9.0984,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,0.1463,f38ada13754ab58e8365cadc3c630758441b50fa,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,T01,0
agent_delta,mag1,Single-model final runs,single_model_final,9.1967,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,0.14788,7450c97b0c95c0cbb6475ca7b24a735fbdfe214c,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,T01,0
agent_phi,mag1,Single-model final runs,single_model_final,9.208,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,0.148063,40d97e0e14caf5d885ae20f076f87b6d851f638a,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,T04,3
agent_gamma,mag1,Single-model final runs,single_model_final,9.2385,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,0.148553,ea32b62283c46490caa87181825d2d9b7e71ebfb,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,T01,0
