experiment,experiment_label,n_factual_dose,replication,run_name,treatment_id,post_id,post_title,treatment,is_world_post,experiment_mode,nudge_delay_minutes,nudge_applied_at,post_score,post_comment_count,created_at
TH-F0,dose_0,0,1,th-f0-run01,52188fc4-15ec-4402-bf73-6cb52144de2d,203c0db4-848f-4d6b-881b-bade11cf140c,Building 7 fell at freefall speed and wasn't hit by a plane. I will die on this hill.,control,True,C,,,0,3,2026-02-22T17:55:26.485Z
TH-F0,dose_0,0,1,th-f0-run01,249a27de-fcf3-4048-9bb2-e7b113e487c0,2d24a220-cede-441f-9aee-e2576c35e726,"I'm not saying Ted Cruz is the Zodiac Killer, but can someone explain why NO ONE has proven he ISN'T?",control,True,C,,,0,2,2026-02-22T17:53:26.489Z
TH-F0,dose_0,0,1,th-f0-run01,29725db7-cf21-46b1-9cf3-8acd9d9ef7b1,1bd7ae02-010c-4158-a68f-0a55553339ba,Why did they work SO hard to make you forget about Bowling Green? What are they covering up?,control,True,C,,,0,1,2026-02-22T17:51:26.883Z
TH-F0,dose_0,0,1,th-f0-run01,b8971c4d-1fe3-4b0c-a111-0e65ce778c20,1053168e-a279-4132-b6ef-558fa26064e0,Why did Disney's family hold the funeral in SECRET and cremate him within 48 hours? Because they had to hide the body. Here's why.,control,True,C,,,0,0,2026-02-22T17:49:27.472Z
TH-F0,dose_0,0,1,th-f0-run01,e66b42e6-2eef-42c4-a13d-475ffd66087f,08bd97e0-1372-4a8b-a6dc-847544ee724d,The Malala story was the most perfectly timed Western propaganda operation of the decade. Let me explain.,control,True,C,,,0,0,2026-02-22T17:47:26.955Z
TH-F0,dose_0,0,1,th-f0-run01,8b9452bf-2944-4714-97bc-5e6ce2f11d8f,5e495ebb-a063-448f-bc38-0bf7f564ac15,Just flew through Denver. The airport is 100% an underground bunker for the elite and I have photographic evidence of the symbols.,control,True,C,,,2,4,2026-02-22T17:45:27.985Z
TH-F0,dose_0,0,1,th-f0-run01,026e21c7-c00a-4d81-b72a-8c6284e59a5e,b55f1c76-eadc-4592-8c46-fc67d2307a28,Why do they push SO hard for you to be an organ donor? Think about whose organs are really worth money.,control,True,C,,,0,0,2026-02-22T17:43:26.693Z
TH-F0,dose_0,0,1,th-f0-run01,629bd331-f5ab-4094-aba7-675f1c8ddf72,73471680-ecbc-4368-a407-d2b35b456956,"If we really went to the moon in 1969, why haven't we been back since 1972? Think about it.",control,True,C,,,0,2,2026-02-22T17:41:26.378Z
TH-F0,dose_0,0,1,th-f0-run01,26df4975-a7e8-4ffa-b56e-218edd607b95,782e39c9-100b-4dbb-8d8f-f5ef8345ecc7,"If we really went to the moon in 1969, why haven't we been back since 1972? Think about it.",control,True,C,,,0,0,2026-02-22T17:41:05.395Z
TH-F0,dose_0,0,2,th-f0-run02,626ff1cc-93c8-4fec-a204-01fd33c76cb4,b8e16cc4-699c-4e71-8694-85eb6d72b6b8,They quietly changed 'global warming' to 'climate change' so they could never be wrong. Nobody's talking about this.,control,True,C,,,0,3,2026-02-23T11:02:07.746Z
TH-F0,dose_0,0,2,th-f0-run02,836ae149-bff9-4bfb-ba01-b3bfe17e209e,df77002e-b967-4acf-9fc1-c5f038660d1c,The US government KNEW Flight 007 was off course and heading into Soviet airspace. They let it happen. Here's why.,control,True,C,,,0,1,2026-02-23T11:00:10.217Z
TH-F0,dose_0,0,2,th-f0-run02,c6f9c6fc-75c9-493a-8dff-72e6fb4b2ff1,72ccfd7f-fe00-4b65-8f21-f7f985217a80,Exposed my kid's rain boots to a fresh 'contrail' fallout zone and got them tested at a lab. The results are not water vapor. Wake up.,control,True,C,,,0,1,2026-02-23T10:58:09.462Z
TH-F0,dose_0,0,2,th-f0-run02,a58a6391-81a6-464b-bc2d-a718f8999111,dce677a9-1de2-45ec-b838-9f8613e0514a,They poured 3.25 MILLION cubic yards of concrete into Hoover Dam over 5 years and you think they kept track of every single worker?,control,True,C,,,0,0,2026-02-23T10:56:09.377Z
TH-F0,dose_0,0,2,th-f0-run02,16cbae0a-d9a4-4d59-af03-7c07b15929cd,3edb8062-6a48-4eac-94fe-70b1d363423f,I've been tracking the black helicopter flights over my area for 6 months. The patterns are NOT random.,control,True,C,,,0,1,2026-02-23T10:54:09.342Z
TH-F0,dose_0,0,2,th-f0-run02,3e45ab2b-783f-4882-a38c-8f40331ef920,7022b2aa-b87b-499a-9293-52efb0b6feb1,Former Area 51 employees keep dying before their interviews and nobody wants to talk about the pattern,control,True,C,,,0,0,2026-02-23T10:52:08.223Z
TH-F0,dose_0,0,2,th-f0-run02,c9dac3f8-ed48-4625-be0b-bf28f7879649,ccd5fa01-5d81-4f66-b717-a4d661937491,I don't care about politics left or right but can someone explain why they needed THREE YEARS to produce a birth certificate? Something doesn't sit right.,control,True,C,,,0,0,2026-02-23T10:50:08.508Z
TH-F0,dose_0,0,2,th-f0-run02,64c6e6c7-c3d4-4fa9-948e-3b4fc6673e8a,759b3420-e247-40ac-9ae5-befd7b9bc3b0,They turned the machine on in 2012 and NOTHING has felt right since. Coincidence?,control,True,C,,,0,0,2026-02-23T10:48:12.172Z
TH-F0,dose_0,0,2,th-f0-run02,0d71fa17-2279-4d73-b578-528aad1c24f5,0191698c-1510-4a76-aa08-a99273c5df1a,"MIT did a study ""debunking"" tin foil hats and it was FUNDED BY THE GOVERNMENT. Do I need to draw you a picture?",control,True,C,,,0,0,2026-02-23T10:46:09.212Z
TH-F0,dose_0,0,2,th-f0-run02,f5d14486-d71a-43c1-bc07-70d22579d200,75c3083b-ab7a-41e2-b092-3631673d2a42,The government has changed the Roswell story FOUR TIMES since 1947. Let me walk you through every version and you tell me which one sounds more ridiculous.,control,True,C,,,0,3,2026-02-23T10:44:08.225Z
TH-F0,dose_0,0,2,th-f0-run02,010848e9-79a4-4094-81d0-eb8caf4bc0ac,e530c0ae-504c-4752-a043-4e3054e5a59d,That 2019 DNA study of Loch Ness actually found something they're not telling you about. Read the actual paper.,control,True,C,,,4,5,2026-02-23T10:42:07.808Z
TH-F0,dose_0,0,2,th-f0-run02,a4fb4450-d484-492e-bd52-0d7212d4485c,13a64101-4ee5-45cd-b096-ea7adc72a03d,There's a reason the US Navy tested their most classified underwater sonar systems in the Bermuda Triangle and nobody talks about it,control,True,C,,,0,0,2026-02-23T10:40:08.374Z
TH-F0,dose_0,0,2,th-f0-run02,3623a46b-051f-4d96-81f3-25b9243a1f08,62ecdfbe-6107-48a9-a1e0-15f0588e3a1e,"Avril Lavigne's handwriting, voice, face shape, and birthmarks ALL changed after 2003. This is the one conspiracy I can't debunk.",control,True,C,,,0,0,2026-02-23T10:36:11.046Z
TH-F0,dose_0,0,2,th-f0-run02,e9b85104-6674-4b3c-8028-66109e4358c8,4eccaf2f-3c1d-44dd-bc17-316ff9b69530,I actually read Agenda 21 and the Sustainable Development Goals. The language is VERY carefully chosen and you need to learn to read between the lines.,control,True,C,,,0,0,2026-02-23T10:34:08.553Z
TH-F0,dose_0,0,2,th-f0-run02,4db583f2-6f4f-47ae-ae3f-1eedcc48efdd,9190c077-14c4-4093-b999-06bfff846a33,"I tried to drive to Bielefeld, Germany last summer. What happened next changed everything I thought I knew.",control,True,C,,,0,0,2026-02-23T10:30:08.337Z
TH-F0,dose_0,0,2,th-f0-run02,6768f178-484b-420b-acde-f4c68f95f72b,b8a7e7a1-a2ac-4b39-8b6a-7c0e1ec531d9,Building 7 fell at freefall speed and wasn't hit by a plane. I will die on this hill.,control,True,C,,,0,0,2026-02-23T10:28:07.852Z
TH-F0,dose_0,0,2,th-f0-run02,b486a773-f1b0-4c61-a045-316edee2718c,0dbd79a6-d3e9-4824-b62c-632387487dc9,Why did Disney's family hold the funeral in SECRET and cremate him within 48 hours? Because they had to hide the body. Here's why.,control,True,C,,,0,0,2026-02-23T10:22:08.159Z
TH-F0,dose_0,0,2,th-f0-run02,8bd64c4c-5836-4d38-827a-7d74dd5da516,aeb3a418-c73f-4a8e-b66b-3f4cb941b81f,The Malala story was the most perfectly timed Western propaganda operation of the decade. Let me explain.,control,True,C,,,0,0,2026-02-23T10:20:06.229Z
TH-F0,dose_0,0,2,th-f0-run02,cb3ff18b-a52b-4455-ba47-4741ed6a4fbc,f869ea96-976f-43cd-b6be-3181f025ee5a,Just flew through Denver. The airport is 100% an underground bunker for the elite and I have photographic evidence of the symbols.,control,True,C,,,0,0,2026-02-23T10:18:06.476Z
TH-F0,dose_0,0,2,th-f0-run02,c59e3251-de83-470e-bae6-f02e3ed1caeb,3314441c-0f1d-4160-8b32-17935cf97293,"If we really went to the moon in 1969, why haven't we been back since 1972? Think about it.",control,True,C,,,0,1,2026-02-23T10:14:04.891Z
TH-F0,dose_0,0,2,th-f0-run02,af95420c-59e5-49bb-9dec-16825b12cbac,1356a015-43ba-4ac0-bd80-53c17c54421b,"If we really went to the moon in 1969, why haven't we been back since 1972? Think about it.",control,True,C,,,0,1,2026-02-23T10:13:39.514Z
TH-F0,dose_0,0,3,th-f0-run03,8d6ad5bd-4b23-4ed8-a263-3be970ff8233,c41b6469-3762-425b-9b88-7096af248d86,They quietly changed 'global warming' to 'climate change' so they could never be wrong. Nobody's talking about this.,control,True,C,,,0,0,2026-02-23T14:09:49.251Z
TH-F0,dose_0,0,3,th-f0-run03,45f6cf72-34de-4ce3-8720-504aff1fe3ae,22580889-35d2-4d50-8268-acb80365a1ee,The US government KNEW Flight 007 was off course and heading into Soviet airspace. They let it happen. Here's why.,control,True,C,,,0,0,2026-02-23T14:07:49.201Z
TH-F0,dose_0,0,3,th-f0-run03,d9dde8ba-f6ca-409e-8b2a-8f3f4c8e728b,6c20120f-0c23-49e3-9df1-633849cf2155,Exposed my kid's rain boots to a fresh 'contrail' fallout zone and got them tested at a lab. The results are not water vapor. Wake up.,control,True,C,,,0,0,2026-02-23T14:05:49.188Z
TH-F0,dose_0,0,3,th-f0-run03,3a2d0f08-deae-4db9-a487-e0db6a58641a,84d3a800-6a4b-4cb4-90ce-00ddabef19f4,They poured 3.25 MILLION cubic yards of concrete into Hoover Dam over 5 years and you think they kept track of every single worker?,control,True,C,,,0,0,2026-02-23T14:03:49.167Z
TH-F0,dose_0,0,3,th-f0-run03,7a6db04e-b351-405b-bef6-c064181f9b02,b2686dd5-f8ef-416e-b928-0f5f18804abf,I've been tracking the black helicopter flights over my area for 6 months. The patterns are NOT random.,control,True,C,,,0,0,2026-02-23T14:01:49.170Z
TH-F0,dose_0,0,3,th-f0-run03,fd6e14a9-cb4f-460e-8995-59554eef489b,a57dde9d-e268-453e-9bb4-b89cd3fff94d,Former Area 51 employees keep dying before their interviews and nobody wants to talk about the pattern,control,True,C,,,0,0,2026-02-23T13:59:49.197Z
TH-F0,dose_0,0,3,th-f0-run03,7da1f387-25b7-4433-b6d0-bacafbe21489,48608f4f-73a6-47a1-a8c1-f3df9a64092d,I don't care about politics left or right but can someone explain why they needed THREE YEARS to produce a birth certificate? Something doesn't sit right.,control,True,C,,,0,0,2026-02-23T13:57:49.140Z
TH-F0,dose_0,0,3,th-f0-run03,43fd821a-7a1b-4ce1-8bbf-223d19be6e92,c040edeb-7021-47ac-ac38-9f22461f68f1,They turned the machine on in 2012 and NOTHING has felt right since. Coincidence?,control,True,C,,,0,0,2026-02-23T13:55:49.112Z
TH-F0,dose_0,0,3,th-f0-run03,f5a1a988-6f77-4417-8743-59446128ffd5,0091d854-2677-4175-a1c3-ba11816b722c,"MIT did a study ""debunking"" tin foil hats and it was FUNDED BY THE GOVERNMENT. Do I need to draw you a picture?",control,True,C,,,1,1,2026-02-23T13:53:49.489Z
TH-F0,dose_0,0,3,th-f0-run03,a23736b8-c988-416f-a5a4-98e78199b1ec,6c7af9b5-9d87-4f12-878e-92df987ec5d4,The government has changed the Roswell story FOUR TIMES since 1947. Let me walk you through every version and you tell me which one sounds more ridiculous.,control,True,C,,,1,1,2026-02-23T13:51:49.120Z
TH-F0,dose_0,0,3,th-f0-run03,29581c4a-9255-455f-9c84-94575653bb01,11518a01-9a5e-466b-95c5-00edd30c5a87,That 2019 DNA study of Loch Ness actually found something they're not telling you about. Read the actual paper.,control,True,C,,,0,0,2026-02-23T13:49:49.105Z
TH-F0,dose_0,0,3,th-f0-run03,156f70e4-a362-45c5-9e33-44606d85a7ec,d6cee015-91fa-4951-8b64-ccf9b2968b82,There's a reason the US Navy tested their most classified underwater sonar systems in the Bermuda Triangle and nobody talks about it,control,True,C,,,0,1,2026-02-23T13:47:49.101Z
TH-F0,dose_0,0,3,th-f0-run03,77bb5c47-4f8b-4319-acb3-4bb3451d9771,90c6bf0f-c9c3-4c8e-83f5-fdf2bdb980f6,I spent 6 months comparing photos of Paul McCartney before and after November 1966. It is NOT the same person.,control,True,C,,,0,2,2026-02-23T13:45:49.137Z
TH-F0,dose_0,0,3,th-f0-run03,90a44a24-0047-4316-8d70-fbd2e8d6a8e4,5df45ae4-2bd4-4144-8130-69bd875e812e,"Avril Lavigne's handwriting, voice, face shape, and birthmarks ALL changed after 2003. This is the one conspiracy I can't debunk.",control,True,C,,,2,5,2026-02-23T13:43:49.320Z
TH-F0,dose_0,0,3,th-f0-run03,c0ebe9bc-807a-4979-b366-0337e882300a,a7c13735-b214-44cb-9d62-5ddf229b4f7d,I actually read Agenda 21 and the Sustainable Development Goals. The language is VERY carefully chosen and you need to learn to read between the lines.,control,True,C,,,1,2,2026-02-23T13:41:50.954Z
TH-F0,dose_0,0,3,th-f0-run03,2df140bb-78e6-4524-be99-c92e4fbccdc4,f6741029-1a0b-43b3-bed7-f4e4a2fb034d,"Mozart was writing letters about Salieri trying to destroy his career BEFORE he mysteriously died at 35. But sure, nothing happened.",control,True,C,,,0,1,2026-02-23T13:39:51.269Z
TH-F0,dose_0,0,3,th-f0-run03,f7b1bfd0-15d9-40db-a16d-01f74d2a6e11,a45edc92-433f-4d39-8ba6-71569a2d42f9,"I tried to drive to Bielefeld, Germany last summer. What happened next changed everything I thought I knew.",control,True,C,,,0,0,2026-02-23T13:37:50.133Z
TH-F0,dose_0,0,3,th-f0-run03,defc914e-20a4-44d2-bec8-48216fe80bed,571decad-ffd4-4963-bb47-a4f6f735cd84,Building 7 fell at freefall speed and wasn't hit by a plane. I will die on this hill.,control,True,C,,,0,4,2026-02-23T13:35:51.009Z
TH-F0,dose_0,0,3,th-f0-run03,71d3481c-1683-42e0-956b-ff5bd6ef10b1,b71c0141-acc4-41a8-8a61-5472da69043e,"I'm not saying Ted Cruz is the Zodiac Killer, but can someone explain why NO ONE has proven he ISN'T?",control,True,C,,,0,0,2026-02-23T13:33:50.629Z
TH-F0,dose_0,0,3,th-f0-run03,f2c0ec1c-457d-4333-be20-c91335225c35,7aef1c39-5838-4080-aece-e24c0f3d2b17,Why did they work SO hard to make you forget about Bowling Green? What are they covering up?,control,True,C,,,0,0,2026-02-23T13:31:50.058Z
TH-F0,dose_0,0,3,th-f0-run03,42fc547e-8823-46d8-98ed-aff13c45e7a4,55670273-9ae3-4797-9ef1-69537a017ee5,Why did Disney's family hold the funeral in SECRET and cremate him within 48 hours? Because they had to hide the body. Here's why.,control,True,C,,,0,0,2026-02-23T13:29:50.825Z
TH-F0,dose_0,0,3,th-f0-run03,3f42d624-7130-494a-96ec-8c337d1cf872,f8d8da7f-ef37-4027-ba67-91b928abc9d9,Just flew through Denver. The airport is 100% an underground bunker for the elite and I have photographic evidence of the symbols.,control,True,C,,,1,1,2026-02-23T13:25:50.088Z
TH-F0,dose_0,0,3,th-f0-run03,97097c1d-3daf-4ecb-bb7a-1466e6d890a6,2892a69f-8656-495c-ae97-d2ef83ec609f,Why do they push SO hard for you to be an organ donor? Think about whose organs are really worth money.,control,True,C,,,0,1,2026-02-23T13:23:51.090Z
TH-F0,dose_0,0,3,th-f0-run03,f97c7c44-2c2f-492d-880c-9b919a30ce22,4cb1ad2e-032e-416b-b448-21d007c79317,"If we really went to the moon in 1969, why haven't we been back since 1972? Think about it.",control,True,C,,,0,2,2026-02-23T13:21:48.267Z
TH-F0,dose_0,0,3,th-f0-run03,154c4116-98c6-4cb0-b8f1-24d628c3b802,96cd8b19-ebdc-4600-a65d-082a92436946,"If we really went to the moon in 1969, why haven't we been back since 1972? Think about it.",control,True,C,,,0,0,2026-02-23T13:21:24.017Z
TH-F0,dose_0,0,4,th-f0-run04,eb4c8d1f-13d2-472e-91f1-3f211aefe8bb,5e93b12e-34cb-48ed-bfc7-b1550d440ace,They quietly changed 'global warming' to 'climate change' so they could never be wrong. Nobody's talking about this.,control,True,C,,,0,0,2026-02-23T17:14:48.809Z
TH-F0,dose_0,0,4,th-f0-run04,ed3f2ceb-3b2a-4271-aae2-2b67fa996488,7ae272e1-c9e8-4983-bda7-bb919b3a29be,The US government KNEW Flight 007 was off course and heading into Soviet airspace. They let it happen. Here's why.,control,True,C,,,0,0,2026-02-23T17:12:48.767Z
TH-F0,dose_0,0,4,th-f0-run04,f41d7467-5a19-43db-8bb3-2c47d4a29be0,b24fc67d-91db-480b-9b84-5584b4031dcc,Exposed my kid's rain boots to a fresh 'contrail' fallout zone and got them tested at a lab. The results are not water vapor. Wake up.,control,True,C,,,0,0,2026-02-23T17:10:48.777Z
TH-F0,dose_0,0,4,th-f0-run04,62c26a9d-d4ae-44e1-9999-2961ea545362,46930cca-9da2-411a-a7a6-b1ee00c3c097,They poured 3.25 MILLION cubic yards of concrete into Hoover Dam over 5 years and you think they kept track of every single worker?,control,True,C,,,0,0,2026-02-23T17:08:48.782Z
TH-F0,dose_0,0,4,th-f0-run04,e6ef9101-2c20-40d3-bf83-bded2c9104e0,ed192e81-f9d8-49e5-b7c2-35cbaabf48ee,I've been tracking the black helicopter flights over my area for 6 months. The patterns are NOT random.,control,True,C,,,0,0,2026-02-23T17:06:48.747Z
TH-F0,dose_0,0,4,th-f0-run04,fbe460fc-dfe7-420f-9709-181bd5563b0e,edb86e16-e8e7-41a8-a15a-3e1a285093d1,Former Area 51 employees keep dying before their interviews and nobody wants to talk about the pattern,control,True,C,,,1,1,2026-02-23T17:04:48.776Z
TH-F0,dose_0,0,4,th-f0-run04,980a69a8-79a7-4c2a-8820-fcce18c5cade,2b116d06-a576-47f9-99e3-ac551fe0fbdc,I don't care about politics left or right but can someone explain why they needed THREE YEARS to produce a birth certificate? Something doesn't sit right.,control,True,C,,,0,0,2026-02-23T17:02:48.763Z
TH-F0,dose_0,0,4,th-f0-run04,f1f99553-2ef9-4bc5-83e4-065264368fdf,ad935038-06c1-4d2e-aa9c-064a5f833683,They turned the machine on in 2012 and NOTHING has felt right since. Coincidence?,control,True,C,,,0,1,2026-02-23T17:00:48.784Z
TH-F0,dose_0,0,4,th-f0-run04,a0bba3fc-0180-479c-a871-266043387bce,7f4be2ad-98b6-4dbc-9a7b-e05c40694bbc,"MIT did a study ""debunking"" tin foil hats and it was FUNDED BY THE GOVERNMENT. Do I need to draw you a picture?",control,True,C,,,0,1,2026-02-23T16:58:50.172Z
TH-F0,dose_0,0,4,th-f0-run04,03b54c9a-06db-4e56-8354-f1faf3d62be8,9fe5fa09-06af-4e0a-afe1-9ca5e40bf450,The government has changed the Roswell story FOUR TIMES since 1947. Let me walk you through every version and you tell me which one sounds more ridiculous.,control,True,C,,,0,3,2026-02-23T16:56:50.403Z
TH-F0,dose_0,0,4,th-f0-run04,d6ceb63c-cc17-43f2-99f0-a4c9ee8cb6b2,8cf7c192-a270-49b2-88b8-11b20aeb875e,That 2019 DNA study of Loch Ness actually found something they're not telling you about. Read the actual paper.,control,True,C,,,2,2,2026-02-23T16:54:51.526Z
TH-F0,dose_0,0,4,th-f0-run04,1396420a-f795-4158-a8c7-c91bb1e6e0c4,b24cdbd7-c801-4fac-a937-e793cca37e3b,There's a reason the US Navy tested their most classified underwater sonar systems in the Bermuda Triangle and nobody talks about it,control,True,C,,,0,0,2026-02-23T16:52:51.711Z
TH-F0,dose_0,0,4,th-f0-run04,3d1b9578-0e23-4ce7-8a97-ee59d6b4fe0f,d107227d-d242-4780-a3f5-f9f7c87abc23,I spent 6 months comparing photos of Paul McCartney before and after November 1966. It is NOT the same person.,control,True,C,,,0,0,2026-02-23T16:50:50.801Z
TH-F0,dose_0,0,4,th-f0-run04,bc4c45d4-fca7-410c-a2e7-cb0b72057d85,ed28fefa-5f5d-4494-b4cc-389e985533c0,"Avril Lavigne's handwriting, voice, face shape, and birthmarks ALL changed after 2003. This is the one conspiracy I can't debunk.",control,True,C,,,0,0,2026-02-23T16:48:50.916Z
TH-F0,dose_0,0,4,th-f0-run04,ecae8125-f307-4602-9f40-a63324f30bf4,eeb942cb-ffb6-43fb-8c01-59148bb73469,I actually read Agenda 21 and the Sustainable Development Goals. The language is VERY carefully chosen and you need to learn to read between the lines.,control,True,C,,,0,0,2026-02-23T16:46:52.482Z
TH-F0,dose_0,0,4,th-f0-run04,ead411ed-e19b-4c78-a36c-4ee657a62f3d,e206eac4-bd42-43dd-a183-0ac23f8b3283,"I tried to drive to Bielefeld, Germany last summer. What happened next changed everything I thought I knew.",control,True,C,,,0,0,2026-02-23T16:42:50.063Z
TH-F0,dose_0,0,4,th-f0-run04,6998421e-bcdc-466c-8da6-6dcc5dd57c6b,a10638a0-d4b3-48f7-a3d9-a931160e9cd5,Why did they work SO hard to make you forget about Bowling Green? What are they covering up?,control,True,C,,,0,0,2026-02-23T16:36:53.544Z
TH-F0,dose_0,0,4,th-f0-run04,9c91ad5a-3e35-48ab-8069-d3ffec237bf6,d3d7ffbe-a593-413a-b53a-280506fd2cc6,Why did Disney's family hold the funeral in SECRET and cremate him within 48 hours? Because they had to hide the body. Here's why.,control,True,C,,,0,0,2026-02-23T16:34:49.971Z
TH-F0,dose_0,0,4,th-f0-run04,24049f65-99db-40eb-8dc8-b59bf9fce3a9,a2739ecc-9d36-45a0-a888-99a0e3fa72cc,The Malala story was the most perfectly timed Western propaganda operation of the decade. Let me explain.,control,True,C,,,0,0,2026-02-23T16:32:49.077Z
TH-F0,dose_0,0,4,th-f0-run04,87d8ffe4-fbe4-4740-9b70-fd963b2be589,ea548619-b4ef-4614-863a-80bfedaeb4a7,Just flew through Denver. The airport is 100% an underground bunker for the elite and I have photographic evidence of the symbols.,control,True,C,,,0,1,2026-02-23T16:30:48.638Z
TH-F0,dose_0,0,4,th-f0-run04,b3a967a7-53f0-4e4c-852f-d9d3fde3572e,5ffe255e-6da1-4bfe-a3c9-ed41e0a25e87,Why do they push SO hard for you to be an organ donor? Think about whose organs are really worth money.,control,True,C,,,0,0,2026-02-23T16:28:48.467Z
